"motif","tfs"
"MA0113.3","NR3C1"
"MA0114.3","HNF4A"
"MA0115.1","NR1H2"
"MA0115.1","RXRA"
"MA0116.1","ZNF423"
"MA0117.2","MAFB"
"MA0119.1","NFIC"
"MA0119.1","TLX1"
"MA0122.2","NKX3-2"
"MA0124.2","NKX3-1"
"MA0125.1","NOBOX"
"MA0130.1","ZNF354C"
"MA0131.2","HINFP"
"MA0132.2","PDX1"
"MA0135.1","LHX3"
"MA0136.2","ELF5"
"MA0137.3","STAT1"
"MA0138.2","REST"
"MA0139.1","CTCF"
"MA0140.2","GATA1"
"MA0140.2","TAL1"
"MA0141.3","ESRRB"
"MA0142.1","POU5F1"
"MA0142.1","SOX2"
"MA0143.3","SOX2"
"MA0144.2","STAT3"
"MA0145.3","TFCP2"
"MA0146.2","ZFX"
"MA0147.2","MYC"
"MA0148.3","FOXA1"
"MA0150.2","NFE2L2"
"MA0151.1","ARID3A"
"MA0152.1","NFATC2"
"MA0153.2","HNF1B"
"MA0154.3","EBF1"
"MA0155.1","INSM1"
"MA0156.2","FEV"
"MA0157.2","FOXO3"
"MA0158.1","HOXA5"
"MA0159.1","RARA"
"MA0159.1","RXRA"
"MA0160.1","NR4A2"
"MA0161.1","NFIC"
"MA0162.2","EGR1"
"MA0163.1","PLAG1"
"MA0164.1","NR2E3"
"MA0258.2","ESR2"
"MA0259.1","ARNT"
"MA0259.1","HIF1A"
"MA0442.1","SOX10"
"MA0461.2","ATOH1"
"MA0462.1","BATF"
"MA0462.1","JUN"
"MA0463.1","BCL6"
"MA0464.2","BHLHE40"
"MA0465.1","CDX2"
"MA0466.2","CEBPB"
"MA0467.1","CRX"
"MA0468.1","DUX4"
"MA0469.2","E2F3"
"MA0470.1","E2F4"
"MA0471.1","E2F6"
"MA0472.2","EGR2"
"MA0473.2","ELF1"
"MA0474.2","ERG"
"MA0475.2","FLI1"
"MA0476.1","FOS"
"MA0477.1","FOSL1"
"MA0478.1","FOSL2"
"MA0479.1","FOXH1"
"MA0480.1","FOXO1"
"MA0481.1","FOXP1"
"MA0482.1","GATA4"
"MA0483.1","GFI1B"
"MA0484.1","HNF4G"
"MA0485.1","HOXC9"
"MA0486.2","HSF1"
"MA0488.1","JUN"
"MA0489.1","JUN"
"MA0490.1","JUNB"
"MA0491.1","JUND"
"MA0492.1","JUND"
"MA0493.1","KLF1"
"MA0494.1","NR1H3"
"MA0494.1","RXRA"
"MA0495.1","MAFF"
"MA0496.1","MAFK"
"MA0497.1","MEF2C"
"MA0498.2","MEIS1"
"MA0499.1","MYOD1"
"MA0500.1","MYOG"
"MA0501.1","MAF"
"MA0501.1","NFE2"
"MA0502.1","NFYB"
"MA0503.1","NKX2-5"
"MA0504.1","NR2C2"
"MA0505.1","NR5A2"
"MA0506.1","NRF1"
"MA0507.1","POU2F2"
"MA0508.1","PRDM1"
"MA0509.1","RFX1"
"MA0510.2","RFX5"
"MA0511.2","RUNX2"
"MA0512.2","RXRA"
"MA0513.1","SMAD2"
"MA0513.1","SMAD3"
"MA0513.1","SMAD4"
"MA0514.1","SOX3"
"MA0515.1","SOX6"
"MA0516.1","SP2"
"MA0517.1","STAT1"
"MA0517.1","STAT2"
"MA0518.1","STAT4"
"MA0519.1","STAT5A"
"MA0519.1","STAT5B"
"MA0520.1","STAT6"
"MA0521.1","TCF12"
"MA0522.2","TCF3"
"MA0523.1","TCF7L2"
"MA0524.2","TFAP2C"
"MA0525.2","TP63"
"MA0526.1","USF2"
"MA0527.1","ZBTB33"
"MA0528.1","ZNF263"
"MA0591.1","BACH1"
"MA0591.1","MAFK"
"MA0592.2","ESRRA"
"MA0593.1","FOXP2"
"MA0594.1","HOXA9"
"MA0595.1","SREBF1"
"MA0596.1","SREBF2"
"MA0597.1","THAP1"
"MA0598.2","EHF"
"MA0599.1","KLF5"
"MA0600.2","RFX2"
"MA0601.1","ARID3B"
"MA0602.1","ARID5A"
"MA0603.1","ARNTL"
"MA0604.1","ATF1"
"MA0605.1","ATF3"
"MA0606.1","NFAT5"
"MA0607.1","BHLHA15"
"MA0608.1","CREB3L2"
"MA0609.1","CREM"
"MA0610.1","DMRT3"
"MA0612.1","EMX1"
"MA0613.1","FOXG1"
"MA0614.1","FOXJ2"
"MA0615.1","GMEB1"
"MA0616.1","HES2"
"MA0617.1","ID2"
"MA0618.1","LBX1"
"MA0619.1","LIN54"
"MA0620.1","MITF"
"MA0622.1","MLXIP"
"MA0623.1","NEUROG1"
"MA0624.1","NFATC1"
"MA0625.1","NFATC3"
"MA0626.1","NPAS2"
"MA0627.1","POU2F3"
"MA0628.1","POU6F1"
"MA0630.1","SHOX"
"MA0631.1","SIX3"
"MA0632.1","TCFL5"
"MA0633.1","TWIST2"
"MA0634.1","ALX3"
"MA0635.1","BARHL2"
"MA0636.1","BHLHE41"
"MA0637.1","CENPB"
"MA0638.1","CREB3"
"MA0639.1","DBP"
"MA0640.1","ELF3"
"MA0641.1","ELF4"
"MA0642.1","EN2"
"MA0643.1","ESRRG"
"MA0644.1","ESX1"
"MA0645.1","ETV6"
"MA0646.1","GCM1"
"MA0647.1","GRHL1"
"MA0648.1","GSC"
"MA0649.1","HEY2"
"MA0650.1","HOXA13"
"MA0651.1","HOXC11"
"MA0652.1","IRF8"
"MA0653.1","IRF9"
"MA0654.1","ISX"
"MA0655.1","JDP2"
"MA0656.1","JDP2"
"MA0657.1","KLF13"
"MA0658.1","LHX6"
"MA0659.1","MAFG"
"MA0660.1","MEF2B"
"MA0661.1","MEOX1"
"MA0662.1","MIXL1"
"MA0663.1","MLX"
"MA0664.1","MLXIPL"
"MA0665.1","MSC"
"MA0666.1","MSX1"
"MA0667.1","MYF6"
"MA0668.1","NEUROD2"
"MA0669.1","NEUROG2"
"MA0670.1","NFIA"
"MA0671.1","NFIX"
"MA0672.1","NKX2-3"
"MA0673.1","NKX2-8"
"MA0674.1","NKX6-1"
"MA0675.1","NKX6-2"
"MA0676.1","NR2E1"
"MA0677.1","NR2F6"
"MA0678.1","OLIG2"
"MA0679.1","ONECUT1"
"MA0680.1","PAX7"
"MA0681.1","PHOX2B"
"MA0682.1","PITX1"
"MA0683.1","POU4F2"
"MA0684.1","RUNX3"
"MA0685.1","SP4"
"MA0686.1","SPDEF"
"MA0687.1","SPIC"
"MA0688.1","TBX2"
"MA0689.1","TBX20"
"MA0690.1","TBX21"
"MA0691.1","TFAP4"
"MA0692.1","TFEB"
"MA0693.1","VDR"
"MA0694.1","ZBTB7B"
"MA0695.1","ZBTB7C"
"MA0696.1","ZIC1"
"MA0697.1","ZIC3"
"MA0698.1","ZBTB18"
"MA0699.1","LBX2"
"MA0700.1","LHX2"
"MA0701.1","LHX9"
"MA0702.1","LMX1A"
"MA0703.1","LMX1B"
"MA0704.1","LHX4"
"MA0705.1","LHX8"
"MA0706.1","MEOX2"
"MA0707.1","MNX1"
"MA0708.1","MSX2"
"MA0710.1","NOTO"
"MA0711.1","OTX1"
"MA0712.1","OTX2"
"MA0713.1","PHOX2A"
"MA0714.1","PITX3"
"MA0715.1","PROP1"
"MA0716.1","PRRX1"
"MA0717.1","RAX2"
"MA0718.1","RAX"
"MA0719.1","RHOXF1"
"MA0720.1","SHOX2"
"MA0721.1","UNCX"
"MA0722.1","VAX1"
"MA0723.1","VAX2"
"MA0724.1","VENTX"
"MA0725.1","VSX1"
"MA0726.1","VSX2"
"MA0727.1","NR3C2"
"MA0728.1","NR2F6"
"MA0729.1","RARA"
"MA0730.1","RARA"
"MA0731.1","BCL6B"
"MA0732.1","EGR3"
"MA0733.1","EGR4"
"MA0734.1","GLI2"
"MA0735.1","GLIS1"
"MA0736.1","GLIS2"
"MA0737.1","GLIS3"
"MA0738.1","HIC2"
"MA0739.1","HIC1"
"MA0740.1","KLF14"
"MA0741.1","KLF16"
"MA0742.1","KLF12"
"MA0743.1","SCRT1"
"MA0744.1","SCRT2"
"MA0745.1","SNAI2"
"MA0746.1","SP3"
"MA0747.1","SP8"
"MA0748.1","YY2"
"MA0749.1","ZBED1"
"MA0750.1","ZBTB7A"
"MA0751.1","ZIC4"
"MA0752.1","ZNF410"
"MA0753.1","ZNF740"
"MA0754.1","CUX1"
"MA0755.1","CUX2"
"MA0756.1","ONECUT2"
"MA0757.1","ONECUT3"
"MA0758.1","E2F7"
"MA0759.1","ELK3"
"MA0760.1","ERF"
"MA0761.1","ETV1"
"MA0762.1","ETV2"
"MA0763.1","ETV3"
"MA0764.1","ETV4"
"MA0765.1","ETV5"
"MA0766.1","GATA5"
"MA0767.1","GCM2"
"MA0768.1","LEF1"
"MA0769.1","TCF7"
"MA0770.1","HSF2"
"MA0771.1","HSF4"
"MA0772.1","IRF7"
"MA0773.1","MEF2D"
"MA0774.1","MEIS2"
"MA0775.1","MEIS3"
"MA0776.1","MYBL1"
"MA0777.1","MYBL2"
"MA0778.1","NFKB2"
"MA0779.1","PAX1"
"MA0780.1","PAX3"
"MA0781.1","PAX9"
"MA0782.1","PKNOX1"
"MA0783.1","PKNOX2"
"MA0784.1","POU1F1"
"MA0785.1","POU2F1"
"MA0786.1","POU3F1"
"MA0787.1","POU3F2"
"MA0788.1","POU3F3"
"MA0789.1","POU3F4"
"MA0790.1","POU4F1"
"MA0791.1","POU4F3"
"MA0792.1","POU5F1B"
"MA0793.1","POU6F2"
"MA0794.1","PROX1"
"MA0795.1","SMAD3"
"MA0796.1","TGIF1"
"MA0797.1","TGIF2"
"MA0798.1","RFX3"
"MA0799.1","RFX4"
"MA0800.1","EOMES"
"MA0801.1","MGA"
"MA0802.1","TBR1"
"MA0803.1","TBX15"
"MA0804.1","TBX19"
"MA0805.1","TBX1"
"MA0806.1","TBX4"
"MA0807.1","TBX5"
"MA0808.1","TEAD3"
"MA0809.1","TEAD4"
"MA0810.1","TFAP2A"
"MA0811.1","TFAP2B"
"MA0812.1","TFAP2B"
"MA0813.1","TFAP2B"
"MA0814.1","TFAP2C"
"MA0815.1","TFAP2C"
"MA0816.1","ASCL2"
"MA0817.1","BHLHE23"
"MA0818.1","BHLHE22"
"MA0819.1","CLOCK"
"MA0820.1","FIGLA"
"MA0821.1","HES5"
"MA0822.1","HES7"
"MA0823.1","HEY1"
"MA0824.1","ID4"
"MA0825.1","MNT"
"MA0826.1","OLIG1"
"MA0827.1","OLIG3"
"MA0828.1","SREBF2"
"MA0829.1","SREBF1"
"MA0830.1","TCF4"
"MA0831.1","TFE3"
"MA0832.1","TCF21"
"MA0833.1","ATF4"
"MA0834.1","ATF7"
"MA0835.1","BATF3"
"MA0836.1","CEBPD"
"MA0837.1","CEBPE"
"MA0838.1","CEBPG"
"MA0839.1","CREB3L1"
"MA0840.1","CREB5"
"MA0841.1","NFE2"
"MA0842.1","NRL"
"MA0843.1","TEF"
"MA0844.1","XBP1"
"MA0845.1","FOXB1"
"MA0846.1","FOXC2"
"MA0847.1","FOXD2"
"MA0848.1","FOXO4"
"MA0849.1","FOXO6"
"MA0850.1","FOXP3"
"MA0851.1","FOXJ3"
"MA0852.1","FOXK1"
"MA0853.1","ALX4"
"MA0854.1","ALX1"
"MA0855.1","RXRB"
"MA0856.1","RXRG"
"MA0857.1","RARB"
"MA0858.1","RARB"
"MA0859.1","RARG"
"MA0860.1","RARG"
"MA0861.1","TP73"
"MA0862.1","GMEB2"
"MA0863.1","MTF1"
"MA0864.1","E2F2"
"MA0865.1","E2F8"
"MA0866.1","SOX21"
"MA0867.1","SOX4"
"MA0868.1","SOX8"
"MA0869.1","SOX11"
"MA0870.1","SOX1"
"MA0871.1","TFEC"
"MA0872.1","TFAP2A"
"MA0873.1","HOXD12"
"MA0874.1","ARX"
"MA0875.1","BARX1"
"MA0876.1","BSX"
"MA0877.1","BARHL1"
"MA0878.1","CDX1"
"MA0879.1","DLX1"
"MA0880.1","DLX3"
"MA0881.1","DLX4"
"MA0882.1","DLX6"
"MA0883.1","DMBX1"
"MA0884.1","DUXA"
"MA0885.1","DLX2"
"MA0886.1","EMX2"
"MA0887.1","EVX1"
"MA0888.1","EVX2"
"MA0889.1","GBX1"
"MA0890.1","GBX2"
"MA0891.1","GSC2"
"MA0892.1","GSX1"
"MA0893.1","GSX2"
"MA0894.1","HESX1"
"MA0895.1","HMBOX1"
"MA0896.1","HMX1"
"MA0897.1","HMX2"
"MA0898.1","HMX3"
"MA0899.1","HOXA10"
"MA0900.1","HOXA2"
"MA0901.1","HOXB13"
"MA0902.1","HOXB2"
"MA0903.1","HOXB3"
"MA0904.1","HOXB5"
"MA0905.1","HOXC10"
"MA0906.1","HOXC12"
"MA0907.1","HOXC13"
"MA0908.1","HOXD11"
"MA0909.1","HOXD13"
"MA0910.1","HOXD8"
"MA0911.1","HOXA11"
"MA0912.1","HOXD3"
"MA0913.1","HOXD9"
"MA0914.1","ISL2"
"MA1099.1","HES1"
"AIRE.p2","AIRE"
"ATF6.p2","ATF6"
"BPTF.p2","BPTF"
"DMAP1_NCOR{1,2}_SMARC.p2","DMAP1"
"DMAP1_NCOR{1,2}_SMARC.p2","NCOR1"
"DMAP1_NCOR{1,2}_SMARC.p2","NCOR2"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCA1"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCA2"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCA4"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCA5"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCAD1"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCAL1"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCB1"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCC1"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCC2"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCD1"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCD2"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCD3"
"DMAP1_NCOR{1,2}_SMARC.p2","SMARCE1"
"ELK1,4_GABP{A,B1}.p3","ELK4"
"ELK1,4_GABP{A,B1}.p3","GABPA"
"ELK1,4_GABP{A,B1}.p3","GABPB1"
"ELK1,4_GABP{A,B1}.p3","ELK1"
"EP300.p2","EP300"
"ETS1,2.p2","ETS2"
"ETS1,2.p2","ETS1"
"EWSR1-FLI1.p2","EWSR1"
"EWSR1-FLI1.p2","FLI1"
"GLI1..3.p2","GLI1"
"GLI1..3.p2","GLI2"
"GLI1..3.p2","GLI3"
"GTF2A1,2.p2","GTF2A1"
"GTF2A1,2.p2","GTF2A2"
"GTF2I.p2","GTF2I"
"GZF1.p2","GZF1"
"HBP1_HMGB_SSRP1_UBTF.p2","HBP1"
"HBP1_HMGB_SSRP1_UBTF.p2","SSRP1"
"HBP1_HMGB_SSRP1_UBTF.p2","UBTF"
"HMGA1,2.p2","HMGA1"
"HMGA1,2.p2","HMGA2"
"IKZF1.p2","IKZF1"
"IKZF2.p2","IKZF2"
"LEF1_TCF7_TCF7L1,2.p2","LEF1"
"LEF1_TCF7_TCF7L1,2.p2","TCF7"
"LEF1_TCF7_TCF7L1,2.p2","TCF7L1"
"LEF1_TCF7_TCF7L1,2.p2","TCF7L2"
"LMO2.p2","LMO2"
"MAZ.p2","MAZ"
"NKX2-1,4.p2","NKX2-1"
"NKX2-1,4.p2","NKX2-4"
"NKX2-2,8.p2","NKX2-2"
"NKX2-2,8.p2","NKX2-8"
"NR1H4.p2","NR1H4"
"NR5A1,2.p2","NR5A1"
"NR5A1,2.p2","NR5A2"
"NR6A1.p2","NR6A1"
"PATZ1.p2","PATZ1"
"RBPJ.p2","RBPJ"
"RFX1..5_RFXANK_RFXAP.p2","RFX1"
"RFX1..5_RFXANK_RFXAP.p2","RFX2"
"RFX1..5_RFXANK_RFXAP.p2","RFX3"
"RFX1..5_RFXANK_RFXAP.p2","RFX4"
"RFX1..5_RFXANK_RFXAP.p2","RFX5"
"RFX1..5_RFXANK_RFXAP.p2","RFXANK"
"RFX1..5_RFXANK_RFXAP.p2","RFXAP"
"SNAI1..3.p2","SNAI1"
"SNAI1..3.p2","SNAI2"
"SNAI1..3.p2","SNAI3"
"TFDP1.p2","TFDP1"
"ZBTB16.p2","ZBTB16"
"ZBTB6.p2","ZBTB6"
"ZIC1..3.p2","ZIC1"
"ZIC1..3.p2","ZIC2"
"ZIC1..3.p2","ZIC3"
"ZNF148.p2","ZNF148"
"ZNF384.p2","ZNF384"
"BHLHE22_DBD","BHLHE22"
"ETV6_full_2","ETV6"
"HOMEZ_DBD","HOMEZ"
"KLF16_DBD","KLF16"
"Klf12_DBD","KLF12"
"MAFK_DBD_1","MAFK"
"MEF2D_DBD","MEF2D"
"MEIS2_DBD_1","MEIS2"
"MEIS2_DBD_2","MEIS2"
"MEOX1_full","MEOX1"
"MEOX2_DBD_3","MEOX2"
"MESP1_DBD","MESP1"
"MGA_DBD_1","MGA"
"UP00220_1 Nkx1-1_3856.3","NKX1-1"
"UP00139_1 Nkx1-2_3214.1","NKX1-2"
"UP00147_1 Nkx2-6_3437.1","NKX2-6"
"UP00238_1 Nkx6-3_3446.1","NKX6-3"
"gr09.v1_Phd1_deBruijn UP00351","HYKK"
"gr09.v1_Yap1_deBruijn UP00327","YAP1"
"sci09.v1_Bbx_3753 UP00012","BBX"
"sci09.v1_Nr2f2_2192 UP00009","NR2F2"
"sci09.v1_Osr1_3033 UP00027","OSR1"
"sci09.v1_Plagl1_0972 UP00088","PLAGL1"
"sci09.v1_Sp100_2947 UP00049","SP100"
"sci09.v1_Zbtb12_2932 UP00019","ZBTB12"
"sci09.v1_Zbtb3_1048 UP00031","ZBTB3"
"sci09.v2_Bbx_3753 UP00012","BBX"
"sci09.v2_Nr2f2_2192 UP00009","NR2F2"
"sci09.v2_Osr1_3033 UP00027","OSR1"
"sci09.v2_Plagl1_0972 UP00088","PLAGL1"
"sci09.v2_Sp100_2947 UP00049","SP100"
"sci09.v2_Zbtb12_2932 UP00019","ZBTB12"
"sci09.v2_Zbtb3_1048 UP00031","ZBTB3"
"MA0002.2","RUNX2"
"MA0002.2","RUNX3"
"MA0003.3","TFAP2B"
"MA0003.3","TFAP2G"
"MA0003.3","TFAP2D"
"MA0003.3","TFAP2E"
"MA0004.1","NPAS4"
"MA0004.1","SOHLH1"
"MA0004.1","SOHLH2"
"MA0004.1","TCFL5"
"MA0004.1","NCOA1"
"MA0004.1","NCOA2"
"MA0004.1","NCOA3"
"MA0004.1","ARNT2"
"MA0004.1","ARNTL"
"MA0004.1","ARNTL2"
"MA0004.1","CLOCK"
"MA0004.1","NPAS2"
"MA0004.1","AHR"
"MA0004.1","AHRR"
"MA0004.1","SIM1"
"MA0004.1","SIM2"
"MA0004.1","EPAS1"
"MA0004.1","NPAS1"
"MA0004.1","NPAS3"
"MA0006.1","NPAS4"
"MA0006.1","SOHLH1"
"MA0006.1","SOHLH2"
"MA0006.1","TCFL5"
"MA0006.1","NCOA1"
"MA0006.1","NCOA2"
"MA0006.1","NCOA3"
"MA0006.1","ARNT"
"MA0006.1","ARNT2"
"MA0006.1","ARNTL"
"MA0006.1","ARNTL2"
"MA0006.1","CLOCK"
"MA0006.1","NPAS2"
"MA0006.1","AHRR"
"MA0006.1","SIM1"
"MA0006.1","SIM2"
"MA0006.1","EPAS1"
"MA0006.1","NPAS1"
"MA0006.1","NPAS3"
"MA0006.1","NPAS4"
"MA0006.1","SOHLH1"
"MA0006.1","SOHLH2"
"MA0006.1","TCFL5"
"MA0006.1","NCOA1"
"MA0006.1","NCOA2"
"MA0006.1","NCOA3"
"MA0006.1","ARNT2"
"MA0006.1","ARNTL"
"MA0006.1","ARNTL2"
"MA0006.1","CLOCK"
"MA0006.1","NPAS2"
"MA0006.1","AHR"
"MA0006.1","AHRR"
"MA0006.1","SIM1"
"MA0006.1","SIM2"
"MA0006.1","EPAS1"
"MA0006.1","NPAS1"
"MA0006.1","NPAS3"
"MA0009.2","TBX19"
"MA0014.2","PAX2"
"MA0014.2","PAX8"
"MA0014.2","PAX1"
"MA0014.2","PAX9"
"MA0019.1","DBP"
"MA0019.1","HLF"
"MA0019.1","TEF"
"MA0019.1","NFIL3"
"MA0024.3","E2F2"
"MA0024.3","E2F3"
"MA0024.3","E2F4"
"MA0024.3","E2F5"
"MA0024.3","E2F6"
"MA0024.3","E2F7"
"MA0024.3","E2F8"
"MA0025.1","DBP"
"MA0025.1","HLF"
"MA0025.1","TEF"
"MA0025.1","DDIT3"
"MA0027.2","NANOG"
"MA0027.2","NOTO"
"MA0027.2","VENTX"
"MA0027.2","BSX"
"MA0027.2","HHEX"
"MA0027.2","HLX"
"MA0027.2","EN2"
"MA0027.2","EMX1"
"MA0027.2","EMX2"
"MA0027.2","DLX1"
"MA0027.2","DLX2"
"MA0027.2","DLX3"
"MA0027.2","DLX4"
"MA0027.2","DLX5"
"MA0027.2","DLX6"
"MA0027.2","DBX1"
"MA0027.2","DBX2"
"MA0027.2","VAX1"
"MA0027.2","VAX2"
"MA0027.2","TLX1"
"MA0027.2","TLX2"
"MA0027.2","TLX3"
"MA0027.2","BARX1"
"MA0027.2","BARX2"
"MA0027.2","HMX1"
"MA0027.2","HMX2"
"MA0027.2","HMX3"
"MA0027.2","MSX1"
"MA0027.2","MSX2"
"MA0027.2","LBX1"
"MA0027.2","LBX2"
"MA0027.2","BARHL1"
"MA0027.2","BARHL2"
"MA0027.2","NR2E1"
"MA0028.2","SPDEF"
"MA0028.2","ETV6"
"MA0028.2","ETV7"
"MA0028.2","SPIB"
"MA0028.2","SPIC"
"MA0028.2","EHF"
"MA0028.2","ELF3"
"MA0028.2","ELF5"
"MA0028.2","ELF1"
"MA0028.2","ELF2"
"MA0028.2","ELF4"
"MA0028.2","ELK3"
"MA0028.2","ELK4"
"MA0028.2","ETV1"
"MA0028.2","ETV4"
"MA0028.2","ETV5"
"MA0028.2","ERF"
"MA0028.2","ETV2"
"MA0028.2","FLI1"
"MA0028.2","ERG"
"MA0028.2","FEV"
"MA0028.2","ETV3"
"MA0028.2","ETV3L"
"MA0030.1","FOXI1"
"MA0030.1","FOXI2"
"MA0030.1","FOXI3"
"MA0030.1","FOXH1"
"MA0030.1","FOXG1"
"MA0030.1","FOXF1"
"MA0030.1","FOXE1"
"MA0030.1","FOXE3"
"MA0030.1","FOXD1"
"MA0030.1","FOXD4L6"
"MA0030.1","FOXD2"
"MA0030.1","FOXD3"
"MA0030.1","FOXD4"
"MA0030.1","FOXD4L1"
"MA0030.1","FOXD4L3"
"MA0030.1","FOXD4L4"
"MA0030.1","FOXD4L5"
"MA0030.1","FOXC1"
"MA0030.1","FOXC2"
"MA0030.1","FOXB1"
"MA0030.1","FOXB2"
"MA0030.1","FOXS1"
"MA0030.1","FOXR1"
"MA0030.1","FOXR2"
"MA0030.1","FOXQ1"
"MA0030.1","FOXP1"
"MA0030.1","FOXP2"
"MA0030.1","FOXP3"
"MA0030.1","FOXP4"
"MA0030.1","FOXO1"
"MA0030.1","FOXO3"
"MA0030.1","FOXO4"
"MA0030.1","FOXO6"
"MA0030.1","FOXN1"
"MA0030.1","FOXN2"
"MA0030.1","FOXN3"
"MA0030.1","FOXN4"
"MA0030.1","FOXM1"
"MA0030.1","FOXL1"
"MA0030.1","FOXL2"
"MA0030.1","FOXK1"
"MA0030.1","FOXK2"
"MA0030.1","FOXJ1"
"MA0030.1","FOXJ2"
"MA0030.1","FOXJ3"
"MA0030.1","FOXA1"
"MA0030.1","FOXA2"
"MA0030.1","FOXA3"
"MA0031.1","FOXI1"
"MA0031.1","FOXI2"
"MA0031.1","FOXI3"
"MA0031.1","FOXH1"
"MA0031.1","FOXG1"
"MA0031.1","FOXF1"
"MA0031.1","FOXF2"
"MA0031.1","FOXE1"
"MA0031.1","FOXE3"
"MA0031.1","FOXD4L6"
"MA0031.1","FOXD2"
"MA0031.1","FOXD3"
"MA0031.1","FOXD4"
"MA0031.1","FOXD4L1"
"MA0031.1","FOXD4L3"
"MA0031.1","FOXD4L4"
"MA0031.1","FOXD4L5"
"MA0031.1","FOXC1"
"MA0031.1","FOXC2"
"MA0031.1","FOXB1"
"MA0031.1","FOXB2"
"MA0031.1","FOXS1"
"MA0031.1","FOXR1"
"MA0031.1","FOXR2"
"MA0031.1","FOXQ1"
"MA0031.1","FOXP1"
"MA0031.1","FOXP2"
"MA0031.1","FOXP3"
"MA0031.1","FOXP4"
"MA0031.1","FOXO1"
"MA0031.1","FOXO3"
"MA0031.1","FOXO4"
"MA0031.1","FOXO6"
"MA0031.1","FOXN1"
"MA0031.1","FOXN2"
"MA0031.1","FOXN3"
"MA0031.1","FOXN4"
"MA0031.1","FOXM1"
"MA0031.1","FOXL1"
"MA0031.1","FOXL2"
"MA0031.1","FOXK1"
"MA0031.1","FOXK2"
"MA0031.1","FOXJ1"
"MA0031.1","FOXJ2"
"MA0031.1","FOXJ3"
"MA0031.1","FOXA1"
"MA0031.1","FOXA2"
"MA0031.1","FOXA3"
"MA0032.2","FOXI1"
"MA0032.2","FOXI2"
"MA0032.2","FOXI3"
"MA0032.2","FOXH1"
"MA0032.2","FOXG1"
"MA0032.2","FOXF1"
"MA0032.2","FOXF2"
"MA0032.2","FOXE1"
"MA0032.2","FOXE3"
"MA0032.2","FOXD1"
